lat,lng,pop
15.3547,44.2066,2008000
15.421,45.334,16794
15.6917,43.6021,208287
13.9759,44.1709,234837
14.7979,42.953,780000
13.0582,44.8838,66288
13.6045,44.0394,751000
16.9398,43.8498,105542
14.5575,44.3875,191259
15.943,48.7873,68747
13.979,45.574,37821
14.4295,44.8341,45233
14.55,46.8,37315
16.2394,52.1638,27404
15.2105,51.2454,189
14.5412,49.1259,258132
14.1951,43.3155,152504
12.7797,45.0095,1000000
12.6519,54.0239,11396
14.7593,49.6092,54274
-12.7871,45.275,32057
-24.1996,29.5,33308
-26.6996,27.1,123669
-32.3,24.54,62896
-25.65,27.24,165976
-28.6996,26.47,12091
-27.76,30.79,150012
-26.6496,27.96,1074000
-25.6296,27.78,122497
-28.2196,28.3,83654
-27.5661,32.0833,564
-23.89,29.45,220045
-29.6667,17.8833,10438
-22.95,30.48,269707
-29.61,30.39,750845
-29.1329,19.3834,4220
-30.9496,22.1333,5785
-27.66,27.21,103992
-28.6083,16.5033,1500
-27.6496,25.59,17122
-34.4096,19.2299,25153
-26.4696,29.45,101919
-28.46,21.23,71373
-23.8195,30.17,67245
-31.6166,18.7333,3331
-28.7468,24.77,165264
-29.865,30.98,2729000
-26.88,26.62,178921
-27.97,26.73,431944
-30.65,24,32318
-29.6595,22.73,11236
-33.01,17.93,68284
-31.5,25.01,18164
-31.6279,29.5283,5939
-27.3596,29.89,43378
-28.3296,31.41,20753
-32.3496,22.57,44737
-25.4096,31.94,20508
-26.9395,29.24,74021
-26.17,28.03,3435000
-27.4496,23.42,10006
-33.6996,18.96,187865
-33.64,19.4399,127597
-30.7195,25.1,12423
-31.58,28.79,137772
-30.6896,26.71,44436
-25.7596,29.47,154706
-26.2696,28.43,236083
-26.1496,28.3299,2986000
-30.7195,30.46,52793
-33.58,22.19,76708
-33.97,25.6,1021000
-33.5995,26.88,17959
-32.97,27.87,338627
-34.17,22.13,16743
-26.96,24.73,49588
-33.7596,25.39,228912
-32.87,27.39,160997
-34.0329,23.0333,63106
-31.8996,26.88,105309
-32.1995,25.61,32898
-34.5295,20.03,14936
-34.0196,20.43,13674
-28.5495,29.78,47375
-33.95,22.45,174582
-33.2996,26.52,91548
-25.83,25.61,104428
-22.34,30.03,20191
-25.7069,28.2294,1338000
-29.12,26.2299,463064